Match Score (%),Recommendation,Title,Company,Company Type,Modality,Salary,Salary Type,Interview Difficulty (0-100),Location,Has Full JD,Pros,Cons / Risks,AI Reasoning,URL,Posted,Scanned At
60,MAYBE / REVIEW,Java Software Engineer,Scale Tech,Consulting,Remote,"40,000€ - 50,000€",Estimated,55,Vilniaus rajonas (Remote),No,"• Remote modality
• Core Java software engineering role","• IT service provider / agency
• Detailed job description missing",Remote Java engineer role with an international IT provider. Needs job description review to verify exact tech stack and pay rate.,N/A,1 month ago,2026-08-10T21:10:01.296Z
60,MAYBE / REVIEW,Software Engineer (Java),Software Mind,Consulting,Remote,"40,000€ - 52,000€",Estimated,55,Cracow (Remote),No,"• Fresh posting (less than 24h old)
• Remote Java position","• Software consultancy model
• Detailed job description missing",Recently posted remote Java opportunity with an international consultancy. Deserves a review once detailed JD is obtained.,N/A,9 hours ago,2026-08-10T21:10:01.296Z
60,MAYBE / REVIEW,Senior Java Software Engineer,SoftServe,Consulting,Remote,"42,000€ - 55,000€",Estimated,65,Poland (Remote),No,"• Large global consultancy
• Remote Java engineering role
• Fresh post (5 days ago)","• Senior seniority requirement
• Consultancy model",Established international service provider offering remote Java positions. Senior level may require demonstration of lead skills.,N/A,5 days ago,2026-08-10T21:10:17.920Z
60,MAYBE / REVIEW,Backend Java Microservices Developer | Sector Bancario,Vermont Solutions,Consulting,Remote,"32,000€ - 38,000€",Estimated,40,Madrid (Remote),No,"• 100% remote modality
• Exact domain stack match: Java, Microservices, Banking",• Spanish consultancy firm limits compensation under 40k€,"Direct stack and domain match with your experience at Globant/NTT Data, but Spanish consultancy structure caps financial potential.",N/A,3 weeks ago,2026-08-10T21:10:17.919Z
60,MAYBE / REVIEW,"Java Backend Developer | Spring Boot, Microservicios | Remoto",knowmad mood,Consulting,Remote,"32,000€ - 38,000€",Estimated,35,Madrid (Remote),No,"• 100% remote work
• Spring Boot and Microservices stack match",• Spanish consultancy capping salary growth below 40k€,"Matches core backend stack and remote preferences, but Spanish consultancy compensation limitations apply.",N/A,2 weeks ago,2026-08-10T21:10:17.919Z
60,MAYBE / REVIEW,Java Software Engineer,Langham Recruitment,Unknown,Remote,"45,000€ - 58,000€",Estimated,55,United Kingdom (Remote),No,"• UK remote compensation aligns with >45k€ desired rate
• Java focus","• Recruitment agency listing
• Detailed job description missing",UK agency role offering remote flexibility and solid compensation. Needs full job description for review.,N/A,3 weeks ago,2026-08-10T21:10:17.919Z
58,MAYBE / REVIEW,Java Developer,Jit Team,Consulting,Remote,"38,000€ - 50,000€",Estimated,50,Gdynia (Remote),No,"• Remote Java position
• Matches general engineering profile","• IT outsourcing team model
• Detailed job description missing",Polish outsourcing company offering remote Java development. Potential alternative depending on project details.,N/A,1 month ago,2026-08-10T21:10:17.919Z
55,MAYBE / REVIEW,Programador/a Java – Spring Boot & Microservicios,METRICA,Consulting,Remote,"30,000€ - 38,000€",Estimated,30,Madrid (Remote),No,"• 100% remote work in Spain
• Stack aligns directly with Spring Boot and Microservices experience","• Spanish consultancy likely pays below the 40k-45k€ target
• Detailed job description missing","The role matches your technical stack and remote preference in Spain. However, as a Spanish consultancy, compensation will likely fall short of your 40k€+ expectation.",N/A,2 months ago,2026-08-10T21:10:01.295Z
55,MAYBE / REVIEW,Software Engineer Java (100% teletrabajo),knowmad mood,Consulting,Remote,"32,000€ - 38,000€",Estimated,35,Madrid (Remote),No,"• 100% remote in Spain
• Java software engineering focus","• Spanish consultancy red flag for salary cap
• Detailed job description missing","Offers full remote work matching your Java experience. However, Spanish consulting rates typically top out under 40k€ for mid-level engineers.",N/A,4 days ago,2026-08-10T21:10:01.295Z
55,MAYBE / REVIEW,Java Software Engineer,Phi Partners,Consulting,Remote,"42,000€ - 55,000€",Estimated,50,Poland (Remote),No,"• Remote modality
• Fintech capital markets domain","• Consultancy model
• Detailed job description missing",Specialized fintech consultancy role with remote work options. Needs JD evaluation to assess exact tech stack and pay range.,N/A,3 weeks ago,2026-08-10T21:10:17.919Z
52,MAYBE / REVIEW,Backend Software Engineer (Digital Transformation),emagine,Consulting,Remote,"40,000€ - 52,000€",Estimated,50,Portugal (Remote),No,"• Remote modality
• Backend engineering focus","• Consulting agency firm
• Detailed job description missing",Remote international consulting opportunity. Requires detailed job description to verify stack suitability.,N/A,1 week ago,2026-08-10T21:10:17.919Z
50,MAYBE / REVIEW,Programador Backend,METRICA,Consulting,Remote,"28,000€ - 36,000€",Estimated,30,Madrid (Remote),No,"• Remote work in Spain
• Backend development focus","• Spanish consultancy firm
• Generic job title and missing detailed job description",Fits backend development and remote work preferences. Salary will likely be below your desired 40k€ threshold due to company type.,N/A,1 month ago,2026-08-10T21:10:01.295Z
50,MAYBE / REVIEW,Senior Java Developer,emagine,Consulting,Remote,"45,000€ - 55,000€",Estimated,65,Portugal (Remote),No,"• Remote modality
• Non-Spanish consultancy with higher potential pay","• Senior title might require more than 3.5 years of experience
• Detailed job description missing","Offers remote work from an international agency which could meet salary goals. However, the Senior requirement may be challenging for your current experience level.",N/A,2 weeks ago,2026-08-10T21:10:01.295Z
50,MAYBE / REVIEW,Software Engineer – Senior Java Developer,GRiT Solutions,Consulting,Remote,"40,000€ - 50,000€",Estimated,60,Portugal (Remote),No,• Remote work option,"• Consultancy firm
• Senior title requirement
• Detailed job description missing",Remote consulting position in Portugal requiring Senior experience. Needs detailed JD to confirm viability.,N/A,1 week ago,2026-08-10T21:10:17.919Z
45,REJECT,Software Engineer - Backend Services - MPG - Fully remote from the UK or,Climax Studios,SME,Remote,"40,000€ - 55,000€",Estimated,60,United Kingdom (Remote),No,• Remote backend engineering,"• Posted 2 months ago (Stale)
• Gaming studio backend often relies on non-Java stacks (C++/C#)
• Detailed job description missing","Stale 2-month-old post in game development, where backend stacks typically deviate from the Java enterprise ecosystem.",N/A,2 months ago,2026-08-10T21:10:17.919Z
45,REJECT,Software Developer - 100% Remoto,Experis España,Consulting,Remote,"28,000€ - 35,000€",Estimated,30,Spain (Remote),No,• 100% Remote in Spain,"• Spanish staffing agency
• Salary unlikely to meet 40k€ target
• Vague position details without JD",Spanish staffing agency listing unlikely to offer compensation matching your target. Standard candidate red flag.,N/A,2 weeks ago,2026-08-10T21:10:01.296Z
40,REJECT,Middle Java Developer,Raiffeisen Bank Ukraine,SME,Remote,"30,000€ - 42,000€",Estimated,50,"Kyiv, Ukraine (Remote)",No,"• Middle seniority fits 3.5 years experience perfectly
• Banking sector","• Ukraine location creates tax and administrative complications
• Detailed job description missing","Though the seniority is ideal, contracting with Ukraine entities introduces severe administrative and geopolitical hurdles for EU residents.",N/A,1 week ago,2026-08-10T21:10:01.296Z
40,REJECT,Programador/a Backend JAVA / Microservicios,METRICA,Consulting,Remote,"28,000€ - 35,000€",Estimated,30,Madrid (Remote),No,• Remote Java Microservices role,"• Posted 3 months ago (Stale listing)
• Spanish consultancy firm with low salary",Old listing (3 months ago) from a Spanish consultancy. Likely filled or inactive with below-target pay.,N/A,3 months ago,2026-08-10T21:10:17.919Z
40,REJECT,Senior Java Engineer,B2Spin Limited,Startup,Remote,"35,000€ - 50,000€",Estimated,65,Ukraine (Remote),No,• Remote work option,"• Ukraine base entity presents payroll risks
• Senior level experience gap",Location based in Ukraine presents payroll and tax hurdles alongside a Senior level experience mismatch.,N/A,1 week ago,2026-08-10T21:10:17.919Z
35,REJECT,Software Developer (Web Development Team),JetBrains,Product,,"60,000€ - 80,000€",Estimated,85,Berlin,No,"• Top-tier tech product company with world-class engineering culture
• High salary potential","• Located in Berlin without explicit remote work for Spain
• Does not match relocation preference (Switzerland only)
• Detailed job description missing","While JetBrains is a prestigious product company, the job is based in Berlin without remote confirmation. This violates your strict location preferences.",N/A,1 week ago,2026-08-10T21:10:01.295Z
35,REJECT,Senior Backend Engineer (Java),Innovecs,Consulting,Remote,"35,000€ - 45,000€",Estimated,65,Ukraine (Remote),No,• Remote work option,"• Ukraine outsourcing consultancy
• Senior experience gap
• Detailed job description missing","Outsourcing consultancy in Ukraine with Senior requirements, posing legal/tax complications and potential salary mismatch.",N/A,1 week ago,2026-08-10T21:10:17.919Z
30,REJECT,Intermediate Java Software Engineer,Version 1,Consulting,,"45,000€ - 60,000€",Estimated,60,London,No,"• Intermediate level fits candidate experience (~3.5 years)
• Java stack focus","• London location without explicit remote option in Spain
• Consultancy firm
• Detailed job description missing",This position is based in London without confirmation of remote work from Spain. It violates your geographical preference.,N/A,1 week ago,2026-08-10T21:10:01.295Z
20,REJECT,Developer,Leaf Agriculture,Startup,,"35,000€ - 50,000€",Estimated,50,Job,No,• AgTech startup product company,"• Posted 1 year ago (Stale position)
• Missing location and modality details
• Vague job title with no job description","This posting is 1 year old and lacks vital location, stack, and modality details. It should be ignored.",N/A,1 year ago,2026-08-10T21:10:01.295Z
15,REJECT,Java Developer,Play Solutions,Consulting,,"30,000€ - 40,000€",Estimated,40,Full Sutton,No,• Java backend development role,"• Posted 1 year ago (Stale role)
• Unknown modality and UK location
• Consultancy firm",Extremely outdated listing from a year ago with missing modality information. Immediate rejection.,N/A,1 year ago,2026-08-10T21:10:01.296Z
10,REJECT,Software Engineer - Java,Giacom,SME,Onsite,"40,000€ - 50,000€",Estimated,50,Greater London (On-site),No,• Java software engineering role,"• On-site requirement in UK (Direct red flag)
• Detailed job description missing","Requires mandatory physical presence in London, violating your remote and location requirements.",N/A,3 weeks ago,2026-08-10T21:10:01.296Z
95,HIGHLY INTERESTED,Full Stack Software Engineer- Java,Vonage,Product,Remote,"48,000€ - 62,000€",Estimated,65,Spain,Yes,"• Full JD provided
• Global product company (cloud communications)
• Spain Remote
• Modern Java 17, Spring Boot, Kafka, Docker, AWS, Redis, Microservices
• Fits mid/semisenior level","• Some frontend JavaScript context required
• High applicant volume","Vonage is an outstanding tier-1 cloud communications product company hiring remotely in Spain. The tech stack (Java 17, Spring Boot, Kafka, AWS, Docker) aligns perfectly with your experience and compensation expectations.",https://www.linkedin.com/jobs/view/4447028367/,1 week ago,2026-08-10T21:39:28.532Z
90,HIGHLY INTERESTED,Mid/Senior Software Engineer (Java),Revolut,Scaleup,Remote,"55,000€ - 75,000€",Estimated,85,Porto (Remote),No,"• Top Fintech product scaleup
• Explicitly accepts Mid-level Java engineers
• Remote in Portugal/Spain region
• High salary potential","• Rigorously demanding interview process
• Fast-paced work culture",Revolut is a flagship fintech product company using modern Java microservices. The Mid/Senior range fits your experience level perfectly and offers top-of-market compensation.,N/A,1 week ago,2026-08-10T21:39:16.679Z
85,HIGHLY INTERESTED,Product Software Engineer,Brightflag,Scaleup,Remote,"50,000€ - 65,000€",Estimated,60,Ireland (Remote),No,"• LegalTech product company
• Product engineering role
• Competitive Irish/EU remote pay","• Detailed JD missing
• Confirm backend language alignment",Brightflag is a reputable AI-powered LegalTech product company with great culture and product focus. Highly recommended assuming tech stack aligns with backend Java.,N/A,5 days ago,2026-08-10T21:10:17.919Z
85,HIGHLY INTERESTED,"Software Engineer II - Python, Java / Spring or Go",Bloomreach,Scaleup,Remote,"50,000€ - 65,000€",Estimated,60,Slovakia (Remote),No,"• Software Engineer II fits 3-4 years experience exactly
• E-commerce AI product scaleup
• Mentions Java / Spring specifically
• Fresh posting","• Slovakia location scope to confirm for Spain
• Detailed JD missing",Bloomreach is a leading e-commerce experience platform. Software Engineer II aligns perfectly with your experience level and Java/Spring skill set.,N/A,5 days ago,2026-08-10T21:39:16.680Z
85,HIGHLY INTERESTED,Backend (Mid-Level) Software Engineer,Granular Energy,Startup,Remote,"50,000€ - 65,000€",Estimated,60,London (Remote),No,"• Explicit Mid-Level role matching 3.5 years experience
• High-growth green energy product startup
• Fully remote with attractive UK/EU salary","• Detailed JD missing
• Posted 2 months ago",Granular Energy is a product startup offering remote mid-level backend roles with competitive compensation well above market. It aligns very strongly with your career goals and remote preferences.,N/A,2 months ago,2026-08-10T21:10:01.295Z
80,HIGHLY INTERESTED,Senior Backend Engineer (Java),Moniepoint Group,Scaleup,Remote,"55,000€ - 70,000€",Estimated,65,Poland (Remote),No,"• Fast-growing fintech scaleup
• Java microservices core
• Competitive remote pay","• Senior label
• Detailed JD missing",Moniepoint is a rapidly growing fintech product company operating globally. Their tech stack relies heavily on Java microservices and offers attractive remote compensation.,N/A,1 week ago,2026-08-10T21:10:17.919Z
80,HIGHLY INTERESTED,"Senior Java Engineer, Retail (f/m/x)",AUTO1 Group,Scaleup,Remote,"60,000€ - 75,000€",Estimated,65,Berlin (Remote),No,"• Major European Tech Product scaleup
• Java microservices backbone
• Remote friendly work structure","• Senior title label
• Detailed JD missing",AUTO1 Group is one of Europe's largest digital automotive platforms with strong Java engineering. Their remote product team offers strong technical growth and competitive compensation.,N/A,2 weeks ago,2026-08-10T21:39:16.679Z
80,HIGHLY INTERESTED,Senior Backend Developer,Tempo Software,Scaleup,Remote,"60,000€ - 80,000€",Estimated,65,Canada (Remote),No,"• Popular Developer Tools product company
• 100% remote
• High salary scale","• Canada remote entity check
• Senior title
• Detailed JD missing","Tempo Software creates well-known productivity tools in the Atlassian ecosystem. As a tech product business with remote engineering, it is a great match.",N/A,1 week ago,2026-08-10T21:10:17.920Z
75,HIGHLY INTERESTED,Senior Software Engineer,Twilio,Product,Remote,"70,000€ - 90,000€",Estimated,80,Estonia (Remote),No,"• Tier-1 global cloud communications product company
• Top tier salary and benefits
• Remote work engineering culture","• Estonia residency location constraint likely
• Senior level competition
• Detailed JD missing","Twilio is a leading global product enterprise with outstanding technology practices. If they hire contractors or remote employees in Spain, it is a premier target.",N/A,1 week ago,2026-08-10T21:10:17.919Z
75,HIGHLY INTERESTED,Mid Level Java Developer,hackajob,Consulting,Remote,"50,000€ - 65,000€",Estimated,55,United Kingdom (Remote),No,"• Explicit Mid-level seniority
• UK market platform rates
• Freshly posted","• Platform/agency listing
• UK right to work check required
• Detailed JD missing",hackajob connects mid-level developers with UK product tech companies. The role aligns with your mid-level experience and salary goals.,N/A,1 day ago,2026-08-10T21:10:17.919Z
75,HIGHLY INTERESTED,Senior Backend Engineer,Harmonic Security,Startup,Remote,"60,000€ - 75,000€",Estimated,70,London (Remote),No,"• Cybersecurity product startup
• Remote role with UK/EU market compensation
• High impact environment","• Senior title label
• Detailed JD missing",Harmonic Security is an innovative product startup in cybersecurity offering well-compensated remote roles. Your cloud and backend experience make you a candidate despite the senior title.,N/A,3 weeks ago,2026-08-10T21:10:01.296Z
75,HIGHLY INTERESTED,Senior Backend Engineer Java / Spring Boot - remote,wealthAPI,Startup,Remote,"55,000€ - 70,000€",Estimated,70,Germany (Remote),No,"• Fintech product startup
• Exact stack match (Java, Spring Boot)
• High salary compensation","• Senior title might require strong performance in interviews
• Detailed JD missing","This role matches your primary tech stack (Java & Spring Boot) in a German fintech product company. While titled Senior, product startups often evaluate semisenior engineers based on actual skills.",N/A,3 weeks ago,2026-08-10T21:10:01.295Z
75,MAYBE / REVIEW,Senior Java Engineer (Core),Hazelcast,Scaleup,Remote,"70,000€ - 90,000€",Estimated,85,United Kingdom (Remote),No,"• Top tier distributed systems product
• High salary bracket
• Fully remote culture","• Core systems Java requires deep low-level expertise
• Senior role expectations
• Detailed JD missing","Hazelcast builds high-performance distributed computing software, offering excellent pay and remote work. However, the technical interview difficulty for core systems engineering is very high.",N/A,2 weeks ago,2026-08-10T21:10:01.296Z
75,HIGHLY INTERESTED,Senior Software Engineer,GitHub,Product,Remote,"85,000€ - 110,000€",Estimated,90,United Kingdom (Remote),No,"• World-class developer platform product
• Exceptional salary and benefits
• 100% remote culture","• High interview bar
• GitHub core stack is Ruby/Go (Java secondary)
• Detailed JD missing","GitHub is a premier dream employer for developers with industry-leading remote policies. While Senior level and non-Java heavy, it is definitely worth reviewing if backend skills translate.",N/A,2 days ago,2026-08-10T21:39:16.680Z
75,MAYBE / REVIEW,Software Engineer - Marketing,Phorest Software,Scaleup,Remote,"48,000€ - 60,000€",Estimated,55,"Northern Ireland, United Kingdom (Remote)",No,"• Irish SaaS product company
• Mid-level software engineer role
• Good compensation","• Check if UK/Ireland legal entity supports remote in Spain
• Detailed JD missing","Phorest Software is a successful SaaS product company based in Ireland. If their UK/NI remote posting allows remote employment from Spain, it is a great match.",N/A,1 month ago,2026-08-10T21:39:16.680Z
70,MAYBE / REVIEW,Senior Java Developer,SplitMetrics,Scaleup,Remote,"50,000€ - 65,000€",Estimated,65,Warsaw (Remote),No,"• App growth ecosystem product scaleup
• Remote Java position
• Above average salary","• Senior title requirement
• Detailed JD missing",SplitMetrics is a product company providing marketing tools for app publishers. A solid remote Java role if they consider 3.5 years experience.,N/A,3 weeks ago,2026-08-10T21:39:16.680Z
70,MAYBE / REVIEW,Senior Java Engineer,"Cosmose, Inc.",Scaleup,Remote,"50,000€ - 65,000€",Estimated,65,Warsaw (Remote),No,"• AI/Data product scaleup
• Fully remote option
• Java backend stack","• Senior title label
• Detailed JD missing","Cosmose is a tech product scaleup offering remote Java positions. While listed as Senior, your solid engineering background makes it worth reviewing.",N/A,3 weeks ago,2026-08-10T21:10:01.296Z
70,MAYBE / REVIEW,Java Developer,Autopay,Scaleup,Remote,"40,000€ - 50,000€",Estimated,55,Sopot (Remote),No,"• Fintech product company
• 100% Remote work
• Standard Java Developer title fits mid-level","• Detailed JD missing
• Poland entity tax restrictions may apply",Autopay is a solid European fintech product company with a role fitting your mid-level experience. You should verify if remote hiring applies to Spanish tax residents.,N/A,1 month ago,2026-08-10T21:10:01.295Z
70,MAYBE / REVIEW,Backend Software Engineer,Huspy,Startup,Remote,"50,000€ - 65,000€",Estimated,65,Netherlands (Remote),No,"• High-growth PropTech product startup
• Attractive salary
• Standard engineer title","• Posted 4 months ago (likely filled)
• Detailed JD missing","Huspy is a prominent scaleup operating across EMEA and Spain. While the role is highly aligned, the 4-month-old posting age reduces likelihood of open hiring.",N/A,4 months ago,2026-08-10T21:39:16.679Z
65,MAYBE / REVIEW,Software Engineer - FinTech (Remote),Quik Hire Staffing,Consulting,Remote,"50,000€ - 65,000€",Estimated,60,EMEA (Remote),No,"• EMEA wide remote
• Fintech domain
• Fresh posting","• Staffing agency listing
• Detailed JD missing",EMEA-wide remote Fintech role posted very recently by a staffing agency. Potentially lucrative if client stack matches Java/Spring Boot.,N/A,16 hours ago,2026-08-10T21:10:17.919Z
65,MAYBE / REVIEW,Senior Backend Software Engineer (Java),Infinni,Startup,Remote,"40,000€ - 50,000€",Estimated,60,"Canary Islands, Spain (Remote)",No,"• Canary Islands, Spain location allows local Spanish tax status
• 100% remote
• Java backend stack","• Senior title requirement
• Detailed JD missing","Based in Canary Islands (Spain), allowing easy remote legal contracting. Check if compensation meets the upper >45k€ preference.",N/A,1 week ago,2026-08-10T21:39:16.680Z
